date,arrival,departure,slot_arrival,slot_departure,holiday_type
2003.11.27,30194,31991,,,0
2003.11.28,30585,32456,,,0
2003.11.29,30344,28965,,,1
2003.11.30,34527,33248,,,1
2003.12.1,32433,29442,,,0
2003.12.2,23999,25513,,,0
2003.12.3,27289,27991,,,0
2003.12.4,28788,29518,,,0
2003.12.5,29978,27856,,,0
2003.12.6,30561,26827,,,1
2003.12.7,35227,30884,,,1
2003.12.8,30511,29649,,,0
2003.12.9,25247,26314,,,0
2003.12.10,27803,30498,,,0
2003.12.11,29824,30553,,,0
2003.12.12,30741,30178,,,0
2003.12.13,32833,28969,,,1
2003.12.14,35658,33802,,,1
2003.12.15,32880,32377,,,0
2003.12.16,27909,26781,,,0
2003.12.17,30655,30503,,,0
2003.12.18,33277,32665,,,0
2003.12.19,32431,31650,,,0
2003.12.20,33490,29533,,,1
2003.12.21,37421,30126,,,1
2003.12.22,30282,26708,,,0
2003.12.23,29770,27997,,,0
2003.12.24,29302,27464,,,0
2003.12.25,29687,28489,,,1
2003.12.26,27596,27303,,,0
2003.12.27,30226,28921,,,1
2003.12.28,35828,30540,,,1
2003.12.29,29675,28156,,,0
2003.12.30,27095,31182,,,0
2003.12.31,26513,35651,,,0
2004.1.1,22812,34048,,,1
2004.1.2,21631,32480,,,0
2004.1.3,27754,36041,,,1
2004.1.4,38232,37660,,,1
2004.1.5,30919,37807,,,0
2004.1.6,24997,36118,,,0
2004.1.7,24956,36126,,,0
2004.1.8,26249,35177,,,0
2004.1.9,26944,33106,,,0
2004.1.10,33929,32453,,,1
2004.1.11,36992,32504,,,1
2004.1.12,33626,34773,,,0
2004.1.13,30610,30065,,,0
2004.1.14,31248,29360,,,0
2004.1.15,34720,30542,,,0
2004.1.16,34914,28946,,,0
2004.1.17,36465,31677,,,1
2004.1.18,37201,30452,,,1
2004.1.19,32566,29088,,,0
2004.1.20,27159,37617,,,0
2004.1.21,24132,43562,,,2
2004.1.22,25233,29820,,,2
2004.1.23,31148,27926,,,2
2004.1.24,39537,25950,,,2
2004.1.25,51787,32207,,,2
2004.1.26,41558,35108,,,0
2004.1.27,33506,35227,,,0
2004.1.28,31240,35688,,,0
2004.1.29,30453,35917,,,0
2004.1.30,27092,34113,,,0
2004.1.31,31148,32890,,,1
2004.2.1,35719,33513,,,1
2004.2.2,32650,32294,,,0
2004.2.3,28094,28667,,,0
2004.2.4,29279,30653,,,0
2004.2.5,30648,30996,,,0
2004.2.6,30427,29690,,,0
2004.2.7,32389,28163,,,1
2004.2.8,37310,29869,,,1
2004.2.9,31248,28452,,,0
2004.2.10,26476,25600,,,0
2004.2.11,29131,27904,,,0
2004.2.12,27659,29526,,,0
2004.2.13,27388,29704,,,0
2004.2.14,30306,29278,,,1
2004.2.15,35709,32708,,,1
2004.2.16,31570,33096,,,0
2004.2.17,27344,27542,,,0
2004.2.18,29070,29801,,,0
2004.2.19,31395,32214,,,0
2004.2.20,30599,32245,,,0
2004.2.21,32619,30925,,,1
2004.2.22,36681,30877,,,1
2004.2.23,33881,32219,,,0
2004.2.24,29800,28369,,,0
2004.2.25,30501,30814,,,0
2004.2.26,31782,33216,,,0
2004.2.27,32746,36779,,,0
2004.2.28,34375,38066,,,1
2004.2.29,38605,29182,,,1
2004.3.1,47250,23561,,,1
2004.3.2,32517,20919,,,0
2004.3.3,26202,24974,,,0
2004.3.4,24392,25176,,,0
2004.3.5,24748,26025,,,0
2004.3.6,26108,24151,,,1
2004.3.7,28805,26168,,,1
2004.3.8,26324,25408,,,0
2004.3.9,21996,23542,,,0
2004.3.10,25030,27191,,,0
2004.3.11,25682,26356,,,0
2004.3.12,27728,27169,,,0
2004.3.13,28199,26292,,,1
2004.3.14,30922,28840,,,1
2004.3.15,28101,28785,,,0
2004.3.16,22895,24810,,,0
2004.3.17,23618,29075,,,0
2004.3.18,26722,29560,,,0
2004.3.19,28033,28906,,,0
2004.3.20,29627,27509,,,1
2004.3.21,33100,27765,,,1
